Sex	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
F	0	0	0	0	0	0	0	SB	SB	NB	SB	SB	SB	0	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	0	0	SB	SB	SB	SB	0	NW	NB	0	0	0	ND	0	SB	0	SB	SB	0	SB	SB	SB	NB	SB	SB	SB	0	SB	SB	0	SB	NW	0	0	0	0	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	SB	0	0	0	NB	0	SB	SB	SB	0	SB	SB	SB	SB	0	SB	SB	NB	SB	0	0	0	0	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	NB	0	SB	0	SB	SB	SB	SB	w	NW	SB	SB	SB	SB	SB	0	SB	SB	SB	0	0	0	0	0	0	0
F	0	0	0	0	0	0	0	0	SB	SB	SB	SB	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NW	W	w	w	NW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	0	0	NW	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	0	SB	w	W	NW	SB	SB	NW	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F	0	0	0	0	0	0	0	SB	0	SB	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	SB	SB	0	SB	W	W	W	NW	0	0	0	ND	0	SB	0	SB	SB	NB	SB	w	w	NW	SB	SB	SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
